groups        	ID	Name
Small molecule	23D	N2-[(1R,2S)-2-AMINOCYCLOHEXYL]-N6-(3-CHLOROPHENYL)-9-ETHYL-9H-PURINE-2,6-DIAMINE
Small molecule	2AN	8-ANILINO-1-NAPHTHALENE SULFONATE
Small molecule	2AP	2-AMINOPYRIDINE
Small molecule	2AS	(2S,3S)-3-METHYL-ASPARTIC ACID
Small molecule	2BA	(2R,3R,3AS,5R,7AR,9R,10R,10AS,12R,14AR)-2,9-BIS(6-AMINO-9H-PURIN-9-YL)OCTAHYDRO-2H,7H-DIFURO[3,2-D:3',2'-J][1,3,7,9,2,8]TETRAOXADIPHOSPHACYCLODODECINE-3,5,10,12-TETROL 5,12-DIOXIDE
Small molecule	2DG	2-DEOXY-BETA-D-GALACTOSE
Small molecule	2F8	METHYL 2-(ACETYLAMINO)-2-DEOXY-ALPHA-D-GLUCOPYRANOSIDE
Small molecule	2FG	2-DEOXY-2-FLUORO-BETA-D-GALACTOSE
Small molecule	2HA	GLYCERONE
Small molecule	2HE	2-HYDROXYETHYLPHOSPHONIC ACID
Small molecule	2HG	(R)-2-HYDROXYGLUTARIC ACID
Small molecule	2HP	DIHYDROGENPHOSPHATE
Small molecule	2KH	5'-O-[(S)-HYDROXY{[(S)-HYDROXY(PHOSPHONOOXY)PHOSPHORYL]AMINO}PHOSPHORYL]URIDINE
Small molecule	2LO	2-[2-(3-CHLORO-4-METHOXYPHENYL)ETHYL]-5-(3,5-DIMETHYL-1,2-OXAZOL-4-YL)-1-[(2S)-2-(MORPHOLIN-4-YL)PROPYL]-1H-BENZIMIDAZOLE
Small molecule	2MR	N4-DIMETHYLARGININE
Small molecule	2MZ	2-METHYLIMIDAZOLE
Small molecule	2PN	IMIDODIPHOSPHORIC ACID
Small molecule	2PO	PHOSPHONATE(2-)
Small molecule	2SA	N(6)-(1,2-DICARBOXYETHYL)-AMP
Small molecule	35G	GUANOSINE-3',5'-MONOPHOSPHATE
Small molecule	37X	OCTYL GLUCOSE NEOPENTYL GLYCOL
Small molecule	3AB	3-AMINOBENZAMIDE
Small molecule	3AM	3'-AMP(2-)
Small molecule	3AT	CORDYCEPIN TRIPHOSPHATE
Small molecule	3CH	3-CHLOROPHENOL
Small molecule	3CN	3-AMINOPROPANE
Small molecule	3CX	(2S)-3-(CYCLOHEXYLAMINO)-2-HYDROXYPROPANE-1-SULFONICACID
Small molecule	3D1	2'-DEOXYADENOSINE
Small molecule	3DM	2,6-DIMETHOXYPHENOL
Small molecule	3GR	GLYCERALDEHYDE
Small molecule	3HB	3-HYDROXYBENZOIC ACID
Small molecule	3HL	(S)-3-HYDROXYBUTYRIC ACID
Small molecule	3NP	3-NITROPROPANOIC ACID
Small molecule	3OH	3-HYDROXYPROPIONIC ACID
Small molecule	3PG	3-PHOSPHOGLYCERIC ACID
Small molecule	3PO	TRIPHOSPHATE(5-)
Small molecule	3PY	3-HYDROXYPYRUVIC ACID
Small molecule	3SA	ACARBOSE DERIVED TRISACCHARIDE
Small molecule	3TR	AMITROLE
Small molecule	43Y	[(2R)-3-[OXIDANYL-[2-(TRIMETHYL-$L^{4}-AZANYL) ETHOXY]PHOSPHORYL]OXY-2-PROPANOYLOXY-PROPYL] PROPANOATE;1,2-DIPROPIONYL-SN-GLYCERO-3-PHOSPHOCHOLINE
Small molecule	44E	(2R)-3-(PHOSPHONOOXY)PROPANE-1,2-DIYL DIHEXANOATE
Small molecule	4AP	4-AMINOPYRIDINE
Small molecule	4CH	4-CHLOROPHENOL
Small molecule	4CS	ECTOINE
Small molecule	4IP	INOSITOL 1,3,4,5-TETRAKISPHOSPHATE
Small molecule	4LU	1-DEOXY-5-O-PHOSPHONO-1-(3,3,4,5-TETRAMETHYL-9,11-DIOXO-2,3,8,9,10,11-HEXAHYDRO-7H-QUINOLINO[1,8-FG]PTERIDIN-12-IUM-7-YL)-D-RIBITOL
Small molecule	4MA	P-TOLUIC ACID
Small molecule	4MU	4-METHYLUMBELLIFERONE
Small molecule	4MZ	4-METHYLIMIDAZOLE
Small molecule	4NC	4-NITROCATECHOL
Small molecule	4OA	LITHOCHOLIC ACID
Small molecule	4PT	DIC4-PHOSPHATIDYLINOSITOL(3,4,5)TRISPHOSPHATE
Small molecule	4SP	O6-CYCLOHEXYLMETHOXY-2-(4'-SULPHAMOYLANILINO)PURINE
Small molecule	4U0	(6R)-5-(ACETYLAMINO)-3,5-DIDEOXY-6-[(1R,2R)-1,2,3-TRIHYDROXYPROPYL]-BETA-L-THREO-HEX-2-ULOPYRANONOSYL-(2-&gt;6)-BETA-D-GALACTOPYRANOSYL-(1-&gt;4)-BETA-D-GLUCOPYRANOSE
Small molecule	4YH	(2S)-2-(3,4-DIMETHOXYPHENYL)-5-{[2-(3,4-DIMETHOXYPHENYL)ETHYL](METHYL)AMINO}-2-(PROPAN-2-YL)PENTANENITRILE
Small molecule	5AD	5'-DEOXYADENOSINE
Small molecule	5GP	GMP RESIDUE
Small molecule	5H1	2-METHYLSEROTONIN
Small molecule	5ID	5-IODOTUBERCIDIN
Small molecule	5JC	2,4-DICHLOROPHENOL
Small molecule	5SP	D-XYLULOSE 5-PHOSPHATE
Small molecule	5U5	3-[(3~{Z})-3-[[[4-[(DIMETHYLAMINO)METHYL]PHENYL]AMINO]- PHENYL-METHYLIDENE]-2-OXIDANYLIDENE-1~{H}-INDOL-6-YL]- ~{N}-ETHYL-PROP-2-YNAMIDE
Small molecule	6C7	S-(3-METHYLBUT-2-EN-1-YL) TRIHYDROGEN THIODIPHOSPHATE
Small molecule	6MD	N-METHYLADENOSINE
Small molecule	6NA	CAPROIC ACID
Small molecule	6OE	(2S)-3-{[(S)-(2-AMINOETHOXY)(HYDROXY)PHOSPHORYL]OXY}-2- (HEXANOYLOXY)PROPYL HEXANOATE
Small molecule	6PC	PICOLINIC ACID
Small molecule	78M	(2S)-2,3-DIHYDROXYPROPYL(7Z)-PENTADEC-7-ENOATE
Small molecule	78N	(2R)-2,3-DIHYDROXYPROPYL(7Z)-PENTADEC-7-ENOATE
