,Ligand,Threshold,Average_ARI
123,GLN,9.5,0.9873621778533112
124,MTA,9.5,0.9866402591869482
125,G3P,12.5,1.0
126,VAL,12.5,0.9783642970583665
127,BU3,9.5,0.964101020449891
128,BEZ,11.5,0.9787560147297982
129,TYD,12.5,0.9986193841979067
130,CBI,10.5,0.9893882150442807
131,UPG,13.5,0.9862540651040941
132,NCA,10.0,1.0
133,DAO,14.0,0.9714757539336154
134,PLM,14.0,0.9410278552747897
135,IHP,11.5,0.9877407610609192
136,TTP,12.0,0.9845782645412811
137,B12,19.5,1.0
138,DCP,11.5,0.9868192135368044
139,FDA,11.5,0.9862258245520731
140,PMP,9.0,1.0
141,PC,9.0,0.958174164450518
142,DAL,9.0,0.9537992794664634
143,QUE,11.5,0.9860527038660261
144,CDP,9.5,1.0
145,PNS,11.5,0.9860527038660261
146,BOG,11.0,0.9436813598441253
147,MLI,10.0,0.9661703155505519
148,SGN,10.5,0.849256130992533
149,CMP,10.5,0.9807560778746511
150,NPO,10.5,0.9720126065369719
151,BDP,13.5,0.9473655727302497
152,C2E,14.0,0.8773997560582881
153,BME,8.5,0.9580312294410173
154,NO2,12.0,0.9833226342665249
155,MMA,10.0,1.0
156,LAT,10.5,1.0
157,PO3,11.5,0.9473684210526315
158,UD1,11.0,1.0
159,RAM,10.5,0.9386337218166827
160,MLT,10.0,1.0
161,SCN,11.0,0.9632157591970751
162,ASC,11.0,0.9822339265840989
163,CLA,12.5,0.8606708271678386
164,NDG,13.0,0.9860347285232017
165,ILE,9.0,1.0
166,CMO,13.0,0.9525890329810923
167,URA,9.0,1.0
168,I3P,12.0,0.9888613813751634
169,RBF,10.5,1.0
170,STL,11.0,0.9737514661290905
171,SO3,11.0,1.0
172,PG4,11.0,0.9617527481018024
173,CLR,12.0,0.9443775795716958
174,F3S,8.5,1.0
175,MES,10.5,0.9898840005734755
176,ACR,10.5,1.0
177,OAA,12.0,0.9801956281914983
178,MYR,12.0,0.9885310363079829
179,MTN,12.0,0.9650102703924738
180,UNK,8.5,0.9066223296686469
181,LBT,10.0,0.9833624616065839
182,SEP,9.0,1.0
183,STU,10.0,1.0
184,IDS,13.5,0.9050627672470795
185,CAC,9.0,1.0
186,DGL,9.0,0.9754970354689118
187,FUM,12.0,1.0
188,CHT,9.0,0.9373347825554127
189,I3C,9.0,0.9330004945312265
190,INS,10.0,1.0
191,ASN,10.0,1.0
192,U,10.5,1.0
193,13P,9.5,0.9841419003725357
194,PEO,9.5,1.0
195,G6P,13.0,1.0
196,CAA,16.5,1.0
197,F6P,9.5,1.0
198,3PO,11.5,1.0
199,NOJ,10.5,0.9793558119925331
200,BCD,15.0,1.0
