,Ligand,Threshold,Average_ARI
875,PLS,11.0,1.0
876,35G,9.0,1.0
877,CTC,10.0,1.0
878,TEM,7.5,1.0
879,PT1,10.0,1.0
880,ERG,11.0,1.0
881,T6P,9.0,1.0
882,HFA,9.0,1.0
883,TAR,7.5,1.0
884,PRE,9.0,1.0
885,CMX,9.5,1.0
886,FOH,10.0,0.8587150269897197
887,LA,6.5,0.8402069087198858
888,UDX,10.0,1.0
889,AAG,9.0,1.0
890,PSF,8.5,1.0
891,4MZ,8.5,1.0
892,HAR,8.5,1.0
893,MQ9,9.5,1.0
894,NFG,9.5,1.0
895,F43,9.5,1.0
896,GCH,10.0,1.0
897,BPY,9.0,1.0
898,NBG,9.0,1.0
899,MG7,9.0,1.0
900,P4P,9.0,1.0
901,CRT,10.5,0.8180732125814321
902,HCC,9.5,1.0
903,DTN,9.0,1.0
904,BB2,9.0,1.0
905,PA5,9.0,1.0
906,ISQ,11.5,1.0
907,HDD,10.0,1.0
908,NIN,11.5,1.0
909,IAS,11.0,1.0
910,4SP,9.5,1.0
911,LMS,9.0,1.0
912,RNP,11.5,1.0
913,DO3,10.0,1.0
914,SWF,9.5,1.0
915,ELA,10.5,1.0
916,MDN,6.5,1.0
917,EPA,9.5,1.0
918,TAS,10.5,0.816227766016838
919,UVC,9.0,0.9413674147523747
920,CVI,11.0,1.0
921,MGR,10.0,1.0
922,145,9.5,0.8516876604692234
923,2FG,9.0,1.0
924,2DG,8.0,1.0
925,G4S,9.5,0.8946761086881632
926,B96,9.0,1.0
927,DBS,8.5,0.8503245248726854
928,LYC,10.5,1.0
929,3CH,8.0,1.0
930,PHN,8.0,1.0
931,AXL,9.0,1.0
932,BUL,10.5,1.0
933,3OH,8.5,1.0
934,DPR,7.0,1.0
935,SMN,9.5,1.0
936,2SA,15.0,1.0
937,QUS,9.0,1.0
938,CH1,9.5,1.0
939,U3P,8.0,1.0
940,OMO,7.5,1.0
941,ASE,10.5,1.0
942,MTH,8.0,1.0
943,152,9.0,0.8635238526588276
944,GET,11.5,1.0
945,ANN,9.5,1.0
946,DTY,12.0,0.8273268353539885
947,DXX,8.5,1.0
948,2PO,7.0,1.0
949,GEO,10.5,1.0
950,BHA,9.0,1.0
951,MYT,8.5,1.0
952,MTP,8.0,1.0
953,DBV,7.5,0.9174235549683609
954,PHT,10.0,1.0
955,NCC,9.0,1.0
956,FU2,8.5,1.0
957,8BR,10.0,1.0
958,ALL,8.0,1.0
959,IPR,9.5,1.0
960,9MG,8.5,1.0
961,YT3,5.5,1.0
962,BO3,9.5,1.0
963,AST,7.5,1.0
964,PLX,6.5,1.0
965,OS,9.0,1.0
966,MCR,9.5,1.0
967,B3N,9.5,1.0
968,PYD,8.0,1.0
969,SUP,8.5,1.0
970,GAF,8.5,1.0
971,WBU,8.0,1.0
972,BT5,8.5,1.0
973,8DG,8.0,1.0
974,BAP,8.5,1.0
975,3SA,9.5,1.0
976,NH2,8.5,1.0
977,F15,10.0,1.0
978,AHD,9.5,1.0
979,3NP,9.5,1.0
980,P3A,11.0,1.0
981,T3A,10.0,1.0
982,XMM,8.5,1.0
983,AGH,13.5,1.0
984,SC2,8.0,1.0
985,MNM,8.5,1.0
986,TP5,8.5,0.837099931231621
987,CLT,9.0,1.0
988,TUD,9.0,1.0
989,1FL,9.5,1.0
990,IYZ,8.5,1.0
991,MLD,10.5,1.0
992,23D,10.0,1.0
993,MSL,9.0,1.0
994,ITT,10.0,1.0
995,16C,11.5,1.0
996,3HL,8.0,1.0
997,NGY,7.5,1.0
998,BVF,8.5,1.0
999,MGX,9.5,1.0
1000,VX6,9.5,1.0
1001,BFQ,9.5,1.0
1002,LOP,13.0,1.0
1003,BRN,9.5,1.0
1004,VD3,12.5,1.0
1005,C2R,8.5,1.0
1006,MMZ,11.0,1.0
1007,H8H,10.0,1.0
1008,4MA,8.0,1.0
1009,CO6,12.0,1.0
1010,ACK,9.0,1.0
1011,J60,14.0,1.0
1012,J01,10.0,0.856050905574586
1013,B6D,10.0,1.0
1014,ANW,9.5,1.0
1015,TXP,10.5,1.0
1016,A2R,10.0,1.0
1017,BTM,9.5,1.0
1018,OYA,7.5,1.0
1019,RM4,9.5,1.0
1020,TDZ,10.0,1.0
1021,NNR,9.0,1.0
1022,ML1,12.0,0.842672208421171
1023,QSO,12.0,1.0
1024,KO2,7.0,1.0
1025,C6P,9.5,1.0
1026,PGW,8.5,0.9244473000032561
1027,CAT,9.0,1.0
1028,HPP,12.5,1.0
1029,H2U,9.5,1.0
1030,TB,5.0,1.0
1031,KDN,9.0,1.0
1032,LMT,13.0,0.6940825916751378
1033,HCY,9.0,1.0
1034,ALO,10.5,1.0
1035,PAR,10.0,1.0
1036,CL6,9.5,0.837099931231621
1037,ZZ7,9.0,1.0
1038,NM2,10.5,1.0
1039,VGL,8.0,0.816227766016838
1040,X0V,8.0,0.8429971702850176
1041,DPV,10.0,1.0
1042,DG,10.0,1.0
1043,DSL,14.5,1.0
1044,B49,10.5,1.0
1045,AOV,9.0,1.0
1046,YDJ,9.5,1.0
1047,EDG,8.0,1.0
1048,BMX,12.0,1.0
1049,REF,8.0,1.0
1050,1NP,10.0,1.0
1051,DLZ,7.5,1.0
1052,KAA,12.0,1.0
1053,LB2,9.5,1.0
1054,SOE,10.0,1.0
1055,11D,10.5,1.0
1056,MLB,11.0,1.0
1057,SKE,10.0,1.0
1058,SAU,11.0,0.8333333333333333
1059,XIN,8.5,1.0
1060,CBY,14.0,1.0
1061,HYN,9.0,1.0
1062,SP5,8.5,1.0
1063,G2I,10.5,1.0
1064,TBY,9.0,1.0
1065,PFF,8.5,1.0
1066,4OA,10.0,1.0
1067,7PE,9.5,1.0
1068,T3Q,12.0,1.0
1069,3DM,8.5,1.0
1070,5H1,8.0,1.0
1071,2HE,9.5,1.0
1072,MXN,10.5,1.0
1073,AX7,8.5,1.0
1074,PT5,13.5,1.0
1075,PE0,6.0,1.0
1076,CE3,9.0,0.8981164804754305
1077,J3Z,10.0,1.0
1078,JZ0,7.5,1.0
1079,PNK,9.5,1.0
1080,0LI,9.0,1.0
1081,BZ2,9.0,1.0
1082,1CY,10.5,1.0
1083,DLE,5.5,1.0
1084,ECL,12.0,0.8450327796711772
1085,QIC,9.0,1.0
1086,JZR,8.0,1.0
1087,IP8,8.0,1.0
1088,RE,8.5,1.0
1089,4CH,9.5,1.0
1090,KKK,10.5,1.0
1091,JKE,9.5,1.0
1092,5SP,9.5,1.0
1093,TCI,9.0,1.0
1094,VOR,10.0,1.0
1095,ABV,8.0,1.0
1096,HCD,10.5,1.0
1097,SGV,9.0,1.0
1098,KOU,8.0,1.0
1099,NPX,9.5,1.0
1100,QEL,9.0,1.0
1101,PZE,7.5,1.0
1102,HL6,9.5,1.0
1103,PZA,7.5,0.8333333333333333
1104,DSZ,11.0,1.0
1105,NFU,6.5,1.0
1106,UQ9,11.0,1.0
1107,TIY,8.0,1.0
1108,T3Y,8.0,1.0
1109,HY0,10.0,1.0
1110,08T,9.0,1.0
1111,0V5,9.0,1.0
1112,K36,8.5,1.0
1113,VN3,7.5,1.0
1114,2MR,7.0,1.0
1115,0JO,8.5,1.0
1116,MMV,10.5,1.0
1117,0LA,9.5,1.0
1118,RWZ,9.5,1.0
1119,0R0,8.5,0.8489912202260563
1120,FVX,9.5,1.0
1121,TLF,9.0,1.0
1122,SYN,8.5,1.0
1123,1N7,7.5,0.8892494720807615
1124,AKR,8.0,1.0
1125,1P8,8.0,0.9147806778921701
1126,MEW,9.0,1.0
1127,1LQ,8.0,1.0
1128,T6C,8.5,1.0
1129,BU9,9.0,1.0
1130,1S6,9.5,1.0
1131,2F8,7.0,1.0
1132,6MD,9.0,1.0
1133,2KH,10.5,1.0
1134,2LO,10.5,1.0
1135,010,8.0,1.0
1136,TYZ,9.5,1.0
1137,UEG,8.0,1.0
1138,M1V,12.0,1.0
1139,1RY,10.0,1.0
1140,P2E,8.5,1.0
1141,37X,12.0,0.7306875975504877
1142,MFK,11.0,1.0
1143,4LU,10.0,1.0
1144,WCA,11.0,0.8860768455039463
1145,4YH,11.5,1.0
1146,TME,8.0,1.0
1147,IVC,11.0,1.0
1148,4U0,6.5,1.0
1149,GBM,9.0,1.0
1150,44E,9.0,0.8618734322278729
1151,OOG,9.5,1.0
1152,5JC,7.5,1.0
1153,6C7,10.0,1.0
1154,6OE,9.5,1.0
1155,03S,10.0,1.0
1156,OK3,8.0,1.0
1157,5U5,8.5,1.0
1158,GVX,10.5,1.0
